run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,simulated_tolerance,split,steps,avg_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,fallback_steps,avg_selected_window
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.38,calibration,576,0.19883072981836392,0.046875,0.7831205725830588,482.44444444444446,134,478.44444444444446
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.38,evaluation,576,0.2918061774513855,0.08506944444444445,0.45910860653804497,516.0,452,512.0
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.4,calibration,576,0.2106578953844306,0.052083333333333336,0.7660493410000604,473.1111111111111,117,469.1111111111111
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.4,evaluation,576,0.2918061774513855,0.08506944444444445,0.45910860653804497,516.0,243,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.3,calibration,576,0.12786059642153477,0.027777777777777776,0.8421897213032994,516.0,402,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.3,evaluation,576,0.34253172038088814,0.09027777777777778,0.4592833888416512,516.0,576,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.32,calibration,576,0.12786059642153477,0.027777777777777776,0.8421897213032994,516.0,377,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.32,evaluation,576,0.34253172038088814,0.09027777777777778,0.4592833888416512,516.0,576,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.34,calibration,576,0.12786059642153477,0.027777777777777776,0.8421897213032994,516.0,193,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.34,evaluation,576,0.34253172038088814,0.09027777777777778,0.4592833888416512,516.0,425,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.35,calibration,576,0.12786059642153477,0.027777777777777776,0.8421897213032994,516.0,163,512.0
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.35,evaluation,576,0.34253172038088814,0.09027777777777778,0.4592833888416512,516.0,283,512.0
