run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,context_words,prompts,answer_contains,avg_kept_tokens,fallback_steps
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,evaluation,sink4_window_64,256,18,0.2777777777777778,68.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,evaluation,uckv_budget,64,18,0.8888888888888888,134.66435185185185,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,evaluation,uckv_budget,128,18,0.6111111111111112,147.88657407407408,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,evaluation,uckv_budget,192,18,0.6666666666666666,207.54166666666663,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,evaluation,uckv_budget,256,18,0.5555555555555556,272.3634259259259,20
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,64,18,0.9444444444444444,173.88888888888889,0
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,128,18,0.8888888888888888,247.90046296296293,0
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,192,18,1.0,321.5925925925926,0
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,256,18,1.0,387.7939814814815,402
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,evaluation,uckv_budget,64,18,0.8888888888888888,173.44444444444446,0
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,evaluation,uckv_budget,128,18,0.9444444444444444,250.47916666666666,0
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,evaluation,uckv_budget,192,18,1.0,321.7361111111111,0
outputs/experiments/20260709_105651_979345_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,evaluation,uckv_budget,256,18,0.8888888888888888,387.86805555555554,411
outputs/experiments/20260709_110711_640066_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.32,calibration,uckv_budget,64,18,1.0,169.48842592592592,0
outputs/experiments/20260709_110711_640066_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.32,calibration,uckv_budget,128,18,0.8888888888888888,247.90046296296293,0
outputs/experiments/20260709_110711_640066_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.32,calibration,uckv_budget,192,18,1.0,320.5740740740741,0
outputs/experiments/20260709_110711_640066_final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_reuse_thr01_w384_tol032,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.32,calibration,uckv_budget,256,18,1.0,387.7939814814815,357
