run_dir,run_label,model,split_mode,max_prompts,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,policy,split,prompts,steps,avg_kl,p95_kl,max_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,avg_full_tokens,avg_replay_s_per_step,risk_positive_rate,risk_brier,risk_ece_10,risk_roc_auc,uckv_fallback_steps,uckv_min_safe_steps
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,full,evaluation,72,1728,0.0,0.0,0.0,0.0,1.0,287.59722222222223,287.59722222222223,0.1285711919149434,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_128,evaluation,72,1728,0.3748174980527005,3.062589526176452,11.71992015838623,0.1006944444444444,0.5063641939273721,132.0,287.59722222222223,0.1323157091741854,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_192,evaluation,72,1728,0.2055625241853695,1.4905457794666168,7.755597114562988,0.058449074074074,0.7188848343149373,190.36111111111111,287.59722222222223,0.1316112329994346,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_256,evaluation,72,1728,0.1299609921331308,0.1117471560835836,7.127792835235596,0.0364583333333333,0.8622101324455976,235.9641203703704,287.59722222222223,0.1293805850921132,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_32,evaluation,72,1728,0.7236606213517439,4.442391061782836,11.579944610595703,0.1672453703703703,0.138099325616556,36.0,287.59722222222223,0.1310805606921416,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_320,evaluation,72,1728,0.0646875179270304,0.0191687964834272,7.027772903442383,0.015625,0.9488532112549276,267.13715277777777,287.59722222222223,0.1277778140422217,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_384,evaluation,72,1728,0.0006348741361405,0.0007948988059069,0.0909415930509567,0.0,0.990991131382651,283.92534722222223,287.59722222222223,0.1268050402441581,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_64,evaluation,72,1728,0.5674993388360957,3.8809163212776143,11.707045555114746,0.1383101851851851,0.2608542817201613,68.0,287.59722222222223,0.1314552992123565,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,uckv_budget,evaluation,72,1728,0.204961452951067,1.4186335861682535,8.348984718322754,0.0607638888888888,0.6737000732341684,190.87673611111111,287.59722222222223,0.1248217146995826,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,20.0,1708.0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,uckv_entropy_adaptive,evaluation,72,1728,1.8000167859725398,8.1612799167633,17.043075561523438,0.333912037037037,0.0652523544269454,16.89236111111111,287.59722222222223,0.1290963228443784,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,window_16,evaluation,72,1728,6.397395483783856,19.347854232788084,28.87459754943848,0.7748842592592593,0.0613774780518026,16.0,287.59722222222223,0.1333542621302041,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,96,24,0.01,0.36,full,calibration,48,1152,0.0,0.0,0.0,0.0,1.0,285.2916666666667,285.2916666666667,0.13210000697624,0.2312748015873016,0.1863490725479656,0.1813363119270386,0.8108582764581506,,
