run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,answer_position,prompts,answer_contains,avg_kept_tokens,fallback_steps
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,calibration,uckv_budget,early,12,1.0,1143.0833333333333,0
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,calibration,uckv_budget,late,12,0.8333333333333334,1140.1666666666667,0
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,calibration,uckv_budget,middle,12,0.9166666666666666,1140.25,0
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,evaluation,uckv_budget,early,12,1.0,1141.1666666666667,0
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,evaluation,uckv_budget,late,12,1.0,1140.75,0
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,evaluation,uckv_budget,middle,12,0.9166666666666666,1143.9166666666667,0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,calibration,uckv_budget,early,12,1.0,1143.0833333333333,0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,calibration,uckv_budget,late,12,0.8333333333333334,1140.1666666666667,0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,calibration,uckv_budget,middle,12,0.9166666666666666,1140.25,0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,evaluation,uckv_budget,early,12,1.0,1141.1666666666667,0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,evaluation,uckv_budget,late,12,1.0,1140.75,0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,evaluation,uckv_budget,middle,12,0.9166666666666666,1143.9166666666667,0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,calibration,uckv_budget,early,12,1.0,1143.0833333333333,0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,calibration,uckv_budget,late,12,0.8333333333333334,1140.1666666666667,0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,calibration,uckv_budget,middle,12,0.9166666666666666,1140.25,0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,evaluation,uckv_budget,early,12,1.0,1141.1666666666667,0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,evaluation,uckv_budget,late,12,1.0,1140.75,0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,evaluation,uckv_budget,middle,12,0.9166666666666666,1143.9166666666667,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,calibration,uckv_budget,early,12,1.0,1143.0833333333333,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,calibration,uckv_budget,late,12,0.8333333333333334,1140.1666666666667,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,calibration,uckv_budget,middle,12,0.9166666666666666,1140.25,0
