run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,prompts,steps,avg_kl,p95_kl,max_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,avg_full_tokens,avg_replay_s_per_step,replay_metric_source,uckv_fallback_steps
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_1536,36,864,0.0,0.0,0.0,0.0,1.0,1141.9444444444443,1141.9444444444443,0.1557027446481074,actual_replay,
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_512,36,864,0.3506349311434163,3.0673415064811698,8.314783096313477,0.0891203703703703,0.459435325331838,516.0,1141.9444444444443,0.1627446601596939,actual_replay,
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_768,36,864,0.2447073370524524,2.477246940135948,8.027457237243652,0.0613425925925925,0.6873722309228273,772.0,1141.9444444444443,0.1636323256713391,actual_replay,
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,36,864,0.0001297759835765,0.0003229601716157,0.0141804097220301,0.0,0.997276348659594,1138.3993055555557,1141.9444444444443,0.1796615298460943,actual_replay,
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_entropy_adaptive,36,864,1.9378694384162256,8.337384605407683,15.318841934204102,0.3888888888888889,0.0150824995238179,16.90162037037037,1141.9444444444443,0.1512890916272951,actual_replay,
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,window_16,36,864,6.790504056418976,18.69512310028076,28.657791137695312,0.7997685185185185,0.0142460565994368,16.0,1141.9444444444443,0.1562241657962844,actual_replay,
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,calibration,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.1666666666667,1141.1666666666667,0.1531460216633713,fixed_candidate_simulation,0.0
outputs/experiments/20260710_185045_302326_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol005,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.05,evaluation,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.9444444444443,1141.9444444444443,0.1579523430115257,fixed_candidate_simulation,0.0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,calibration,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.1666666666667,1141.1666666666667,0.1532501203321604,fixed_candidate_simulation,0.0
outputs/experiments/20260710_185458_877477_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol01,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.1,evaluation,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.9444444444443,1141.9444444444443,0.1579955717540516,fixed_candidate_simulation,0.0
