run_dir,run_label,seed_id,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,family,budget
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_96,kv_retrieval,48,0.5,96.0,0,0,0.1528856622702127,3.152140610207425,7.668085318397605,18109440,4423680.0,0,,,24.0,,H2O,96.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_128,kv_retrieval,48,0.5208333333333334,133.875,0,0,0.1530804452286247,2.898359609479485,8.303451174471844,18109440,6168960.0,0,0.119001416587101,0.0410582664411104,2.0,0.3029672669041918,UCKV2,128.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_192,kv_retrieval,48,0.625,192.13541666666663,0,0,0.139985010416846,2.925639843728883,8.23731968566719,18109440,8853600.0,0,0.1272689084450272,0.0430221315527893,2.0,0.2733448387569065,UCKV2,192.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_256,kv_retrieval,48,0.9166666666666666,237.41927083333331,0,0,0.1484025928129995,2.965796723061127,8.124582199214027,18109440,10940280.0,0,0.1530634667069534,0.0508403558572683,2.0,0.2583126909013745,UCKV2,256.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_96,kv_retrieval,48,0.4583333333333333,101.875,0,0,0.2503537204784152,2.938270672791077,8.190858237949545,18109440,4694400.0,0,0.1308952481031156,0.044543803173584,2.0,0.3175222310349207,UCKV2,96.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,full,kv_retrieval,48,0.8958333333333334,285.7708333333333,0,0,0.2070556075420123,3.0904369228125383,7.825496866110405,19261440,13214400.0,0,,,,,Full KV,
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_128,kv_retrieval,48,0.375,128.0,0,0,0.2146714453947424,3.406155917520664,7.116134892194904,18201600,5898240.0,0,,,24.0,,H2O,128.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_192,kv_retrieval,48,0.4583333333333333,187.89583333333331,0,0,0.2023585641666917,3.465183980063254,7.051745298017135,18201600,8658240.0,0,,,24.0,,H2O,192.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_256,kv_retrieval,48,0.5833333333333334,233.90625,0,0,0.1963953689567764,3.4093301606468835,7.173430409527129,18201600,10778400.0,0,,,24.0,,H2O,256.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_96,kv_retrieval,48,0.3333333333333333,96.0,0,0,0.1856463202717956,3.572799218770342,6.802606610147586,18201600,4423680.0,0,,,24.0,,H2O,96.0
