budget,h2o_answer_contains,uckv2_answer_contains,answer_delta,h2o_avg_kept_tokens,uckv2_avg_kept_tokens,kept_delta,h2o_decode_tokens_per_s,uckv2_decode_tokens_per_s,decode_tokens_per_s_delta,uckv2_selector_decode_fraction
96,0.4916666666666666,0.4666666666666667,-0.02499999999999991,96.0,101.875,5.875,6.979070801412597,7.41360953275674,0.43453873134414334,0.04458648453366228
128,0.4916666666666666,0.5166666666666667,0.025000000000000133,128.0,133.875,5.875,7.13649108271274,7.490047316061796,0.35355623334905584,0.0405259224889218
192,0.5958333333333333,0.6041666666666667,0.008333333333333415,187.80416666666665,192.21041666666665,4.40625,7.226138097771821,7.442854442879711,0.21671634510789062,0.04677623566509604
256,0.6708333333333334,0.8708333333333333,0.19999999999999996,233.9503472222222,237.0645833333333,3.114236111111097,7.325303687922164,7.39676329810459,0.0714596101824263,0.052313196459171915
