policy,family,budget,seeds,answer_contains,answer_contains_se,min_answer_contains,max_answer_contains,avg_kept_tokens,avg_kept_tokens_se,decode_tokens_per_s,selector_decode_fraction,avg_eviction_count,avg_entropy_gate
full,Full KV,,5,0.9458333333333334,0.014129854131510966,0.8958333333333334,0.9791666666666666,285.95,0.24690796193453565,7.868569612972921,,,
h2o_hh_96,H2O,96.0,5,0.4916666666666666,0.010622957319984975,0.4583333333333333,0.5208333333333334,96.0,0.0,6.979070801412597,,24.0,
uckv2_fixed_96,UCKV2,96.0,5,0.4666666666666667,0.005103103630798297,0.4583333333333333,0.4791666666666667,101.875,0.0,7.41360953275674,0.04458648453366228,2.0,0.31806204833454593
h2o_hh_128,H2O,128.0,5,0.4916666666666666,0.010622957319984975,0.4583333333333333,0.5208333333333334,128.0,0.0,7.13649108271274,,24.0,
uckv2_fixed_128,UCKV2,128.0,5,0.5166666666666667,0.01792151097300548,0.4791666666666667,0.5833333333333334,133.875,0.0,7.490047316061796,0.0405259224889218,2.0,0.3031688333184909
h2o_hh_192,H2O,192.0,5,0.5958333333333333,0.019320038532282726,0.5416666666666666,0.6458333333333334,187.80416666666665,0.05170697352496732,7.226138097771821,,24.0,
uckv2_fixed_192,UCKV2,192.0,5,0.6041666666666667,0.017430417219459912,0.5625,0.6458333333333334,192.21041666666665,0.05170697352496732,7.442854442879711,0.04677623566509604,2.0,0.28095944294961417
h2o_hh_256,H2O,256.0,5,0.6708333333333334,0.015309310892394864,0.625,0.7083333333333334,233.9503472222222,0.12637750110861817,7.325303687922164,,24.0,
uckv2_fixed_256,UCKV2,256.0,5,0.8708333333333333,0.016666666666666663,0.8125,0.9166666666666666,237.0645833333333,0.14702683124485447,7.39676329810459,0.052313196459171915,2.0,0.2638350186875561
