run_dir,run_label,ablation,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_min_recent,uckv2_recent_fraction,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,budget
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,evaluation,uckv2_fixed_128,kv_retrieval,12,0.3333333333333333,134.5625,0,0,8.971704427084964,10.133502187493528,5.2392057254561,113633280,6200640.0,0,0.4392972158602788,0.049098801394403,2.0,0.3691709751617241,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,evaluation,uckv2_fixed_192,kv_retrieval,12,0.3333333333333333,198.5625,0,0,9.7755652742538,8.967562552083109,5.3315757127952494,113633280,9149760.0,0,0.2143326733106126,0.0366273784460839,2.0,0.3649469695177492,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,evaluation,uckv2_fixed_256,kv_retrieval,12,0.5,262.5625,0,0,10.686026187579651,10.999604389003556,5.150493222867645,113633280,12098880.0,0,0.7586230006078646,0.0702189430942012,2.0,0.3220086370338713,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,full,kv_retrieval,12,0.9166666666666666,1210.4166666666667,0,0,0.659079926997947,2.756595906243698,6.144801461201141,115061760,55822080.0,0,,,,,
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,h2o_hh_128,kv_retrieval,12,0.3333333333333333,128.0,0,0,0.4329434965887533,3.012726482581153,5.522753010777151,114370560,5898240.0,0,,,16.0,,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,h2o_hh_192,kv_retrieval,12,0.3333333333333333,192.0,0,0,0.4842009097507495,2.7448889129979457,6.011743465993379,114370560,8847360.0,0,,,16.0,,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,h2o_hh_256,kv_retrieval,12,0.3333333333333333,256.0,0,0,0.4576313784176212,2.685781958338339,6.110013933448331,114370560,11796480.0,0,,,16.0,,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,uckv2_fixed_128,kv_retrieval,12,0.3333333333333333,134.5625,0,0,7.229436670000723,11.841943565913729,4.834239882885337,114370560,6200640.0,0,0.4332949504096177,0.0567749793110714,2.0,0.3397261382041223,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,uckv2_fixed_192,kv_retrieval,12,0.3333333333333333,198.5625,0,0,9.620109840085206,11.691666989587247,4.889264898071833,114370560,9149760.0,0,0.401426943676294,0.0543708659108376,2.0,0.3458023013851509,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,calibration,uckv2_fixed_256,kv_retrieval,12,0.3333333333333333,262.5625,0,0,10.265638253328992,11.334574864835304,4.731058812905501,114370560,12098880.0,0,0.7247286746836229,0.0860508622753541,2.0,0.336628805719454,256.0
