ablation,policy,budget,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_min_recent,uckv2_recent_fraction,runs,answer_contains,answer_contains_se,avg_kept_tokens,decode_tokens_per_s,selector_decode_fraction
base,h2o_hh_256,256.0,1.0,0.5,16,64,0.25,1,0.1666666666666666,,256.0,4.834941026014718,
base,uckv2_fixed_256,256.0,1.0,0.5,16,64,0.25,1,0.1666666666666666,,259.5,3.695725645625465,0.0941043741381756
base,full,,1.0,0.5,16,64,0.25,1,0.1666666666666666,,1333.3333333333333,5.985191653247763,
beta0,h2o_hh_256,256.0,1.0,0.0,16,64,0.25,1,0.1666666666666666,,256.0,4.733417715562751,
beta0,uckv2_fixed_256,256.0,1.0,0.0,16,64,0.25,1,0.1666666666666666,,259.5,3.843958142518397,0.1389318519557369
beta0,full,,1.0,0.0,16,64,0.25,1,0.1666666666666666,,1333.3333333333333,5.547552867570556,
